index,MainBranch,Employment,Country,Age1stCode,LearnCode,YearsCode,LanguageHaveWorkedWith,Age,Gender
822,I am a developer by profession,Employed full-time,France,11 - 17 years,School,5,Bash/Shell;C;Go;Java;SQL,18-24 years old,Man
823,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Brazil,25 - 34 years,Online Forum;Friend or family member,14,Bash/Shell;C++;Go;Perl;SQL,25-34 years old,Man
824,I am a developer by profession,Employed full-time,Brazil,18 - 24 years,School;Online Courses or Certification;Colleague,6,Bash/Shell;C++;HTML/CSS;Matlab;Python;R,18-24 years old,Man
825,I am a developer by profession,I prefer not to say,Germany,18 - 24 years,Friend or family member,4,Dart;Java,18-24 years old,Man
826,I am a developer by profession,Employed full-time,France,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",11,Swift,25-34 years old,Man
827,I am a developer by profession,Employed full-time,Belgium,18 - 24 years,School;Friend or family member,4,C#;Python,25-34 years old,Man
828,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",3,HTML/CSS;JavaScript;Node.js;Python;SQL,25-34 years old,Man
829,I am a developer by profession,Employed full-time,India,11 - 17 years,School;Online Courses or Certification,4,JavaScript;Node.js;Python,18-24 years old,Man
830,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Czech Republic,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Other (please specify):;Colleague",15,C;C#;C++;HTML/CSS;JavaScript;Node.js;Objective-C;PHP;Python;SQL;TypeScript,25-34 years old,"Or, in your own words:"
831,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",12,JavaScript;PHP;SQL,35-44 years old,Man
832,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Tunisia,35 - 44 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",10,Assembly;Bash/Shell;C;C++;JavaScript;LISP;Matlab;Node.js;PHP;Python;Ruby;SQL,35-44 years old,Man
833,I am a developer by profession,Employed full-time,Canada,18 - 24 years,School,8,Bash/Shell;C;Python,25-34 years old,Man
834,I am a developer by profession,Employed part-time,Spain,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",3,Bash/Shell;C;C#;C++;Java;JavaScript;Node.js;Rust;SQL,18-24 years old,Man
835,I am a student who is learning to code,"Student, full-time",Bangladesh,18 - 24 years,,,C;C#;C++;HTML/CSS;Java;JavaScript;SQL,18-24 years old,Man
836,I am a developer by profession,Employed full-time,India,18 - 24 years,Online Forum;Colleague,15,C#;JavaScript;Python;SQL;VBA,35-44 years old,Man
837,I am a developer by profession,Employed full-time,Austria,25 - 34 years,"Other online resources (ex: videos, blogs, etc)",10,Python;R;SQL,25-34 years old,Man
838,I am a student who is learning to code,"Student, full-time",United States of America,Younger than 5 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification",10,C;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL;TypeScript,Under 18 years old,Man
839,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",7,Bash/Shell;C#;Java;JavaScript;Node.js;Objective-C;SQL;Swift;TypeScript,25-34 years old,Man
840,I am a developer by profession,Employed full-time,Malaysia,18 - 24 years,Colleague,8,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript,25-34 years old,Man
841,I am a student who is learning to code,"Student, part-time",Italy,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum",4,HTML/CSS;PHP;SQL;VBA,Under 18 years old,Man
842,I am a developer by profession,Employed full-time,Austria,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",6,C++;HTML/CSS;JavaScript;Python,25-34 years old,Man
843,I am a developer by profession,Employed full-time,Sri Lanka,18 - 24 years,School,,Go,25-34 years old,Man
844,I code primarily as a hobby,"Not employed, and not looking for work",Sweden,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",2,Assembly;C;C++;Java;JavaScript;Node.js,Under 18 years old,Man
845,I am a developer by profession,Employed full-time,India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Other (please specify):",,C#;HTML/CSS;JavaScript;Node.js;TypeScript,18-24 years old,Man
846,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Other (please specify):",16,Bash/Shell;Python;SQL,25-34 years old,Man
847,I am a developer by profession,Employed full-time,Brazil,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Colleague",18,Java;JavaScript;Node.js;SQL,35-44 years old,Man
848,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School;Online Courses or Certification;Colleague,13,Bash/Shell;Go;Groovy;Java;Python,25-34 years old,Man
849,I am a developer by profession,Employed full-time,Sweden,5 - 10 years,School;Other (please specify):,15,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,25-34 years old,Man
850,I am a developer by profession,Employed full-time,Germany,25 - 34 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Colleague",10,HTML/CSS;JavaScript;Python;SQL,25-34 years old,Man
851,I am a developer by profession,Employed full-time,Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",9,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL,18-24 years old,Man
852,I am a developer by profession,Employed full-time,Netherlands,18 - 24 years,Other (please specify):,25,C#;HTML/CSS;JavaScript;SQL;TypeScript,55-64 years old,Man
853,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",11,C++;Python,18-24 years old,Man
854,I am a student who is learning to code,"Student, full-time",United States of America,11 - 17 years,Coding Bootcamp,,C#;C++,18-24 years old,Man
855,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",18,C#;HTML/CSS;JavaScript;PHP;SQL,35-44 years old,Man
856,I am a developer by profession,Employed full-time,Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",15,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript;VBA,25-34 years old,Man
857,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",15,HTML/CSS;JavaScript;PHP,25-34 years old,Man
858,"I used to be a developer by profession, but no longer am",Employed full-time,Belgium,11 - 17 years,School,30,HTML/CSS;Java;JavaScript;Python;SQL,55-64 years old,Man
859,I am a developer by profession,Employed full-time,France,11 - 17 years,School;Online Courses or Certification;Other (please specify):,15,Bash/Shell;C;C#;C++;Python,25-34 years old,Man
860,I am a developer by profession,I prefer not to say,Italy,18 - 24 years,School,7,C;C++;Java;JavaScript;Matlab;Python;R,25-34 years old,Prefer not to say
861,I am a developer by profession,Employed full-time,Russian Federation,11 - 17 years,Friend or family member;Other (please specify):,24,C;C#;C++;Delphi;HTML/CSS;JavaScript;Objective-C;PowerShell;Python;SQL;VBA,35-44 years old,Man
862,I am a developer by profession,Employed full-time,India,18 - 24 years,School;Other (please specify):,8,Java;JavaScript;PHP,25-34 years old,Man
863,I am a developer by profession,Employed full-time,Germany,18 - 24 years,Friend or family member,12,Java;Python;Scala,35-44 years old,Man
864,I am a developer by profession,"Student, full-time",Canada,11 - 17 years,Friend or family member,11,C;C#;C++;Dart;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,18-24 years old,Man
865,I am a developer by profession,Employed full-time,Armenia,18 - 24 years,Online Forum,,C#;Kotlin;PHP,25-34 years old,Man
866,I am a developer by profession,Employed full-time,Uzbekistan,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",5,C++;Java;Kotlin;Swift,18-24 years old,Man
867,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",15,C#;C++;HTML/CSS;JavaScript;PHP;SQL,25-34 years old,Man
868,I am a developer by profession,Employed full-time,India,18 - 24 years,School,3,HTML/CSS;Node.js;TypeScript,18-24 years old,Man
869,I am a developer by profession,Employed full-time,Belarus,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",6,C++,18-24 years old,Man
870,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,India,11 - 17 years,School,10,C++;HTML/CSS;Java;JavaScript;SQL;VBA,25-34 years old,Man
871,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Italy,11 - 17 years,School,10,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL,25-34 years old,Man
872,I am a developer by profession,Employed full-time,Singapore,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",3,C;C++;Java;JavaScript;Node.js;Python;SQL;TypeScript,18-24 years old,Man
873,I am a developer by profession,Employed full-time,Italy,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague",29,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,35-44 years old,Man
874,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School;Online Courses or Certification,15,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript,25-34 years old,Man
875,I am a developer by profession,Employed full-time,Canada,11 - 17 years,,17,Assembly;C;C#;C++;F#;Haskell;HTML/CSS;Java;PowerShell;Python;SQL;VBA,25-34 years old,Man
876,I am a developer by profession,Employed full-time,Hungary,11 - 17 years,Colleague,12,C#;HTML/CSS;Python;SQL;TypeScript;VBA,25-34 years old,Man
877,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Colleague",26,C#;Python;TypeScript,45-54 years old,Man
878,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,11 - 17 years,School,11,Dart;HTML/CSS;JavaScript;Node.js;PHP;SQL,25-34 years old,Man
879,I code primarily as a hobby,"Student, full-time",Bahrain,Younger than 5 years,"Other online resources (ex: videos, blogs, etc)",2,Dart;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,Under 18 years old,Prefer not to say
880,I am a developer by profession,Employed full-time,France,11 - 17 years,Other (please specify):,36,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;Rust,45-54 years old,Man
881,I am a developer by profession,Employed full-time,Greece,35 - 44 years,Other (please specify):,2,Bash/Shell;C#;HTML/CSS;JavaScript;Python;SQL;VBA,35-44 years old,Man
882,I am a developer by profession,Employed full-time,India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Colleague",8,HTML/CSS;JavaScript;Python;SQL,25-34 years old,Man
883,I code primarily as a hobby,"Student, full-time",France,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",1,HTML/CSS;JavaScript;Node.js;Python;TypeScript,Under 18 years old,Man
884,I am a developer by profession,Employed full-time,Italy,11 - 17 years,School,5,HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,18-24 years old,Man
885,I am a student who is learning to code,"Student, full-time",Canada,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",,Java;JavaScript;Node.js;Python;SQL;TypeScript,18-24 years old,Man
886,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,Friend or family member,14,HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript;VBA,35-44 years old,Man
887,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Brazil,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",7,C++;HTML/CSS;JavaScript;Node.js;PowerShell,18-24 years old,Prefer not to say
888,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",23,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript,35-44 years old,Man
889,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",10,HTML/CSS;JavaScript;PHP;SQL;TypeScript,25-34 years old,Man
890,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification",9,Bash/Shell;Objective-C;Swift,25-34 years old,Man
891,I am a developer by profession,Employed full-time,Belgium,35 - 44 years,School;Friend or family member;Other (please specify):,30,Bash/Shell;C;Java;JavaScript;Kotlin;Python;SQL;TypeScript,35-44 years old,Prefer not to say
892,I code primarily as a hobby,"Student, full-time",Malaysia,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",5,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,Under 18 years old,Man
893,I code primarily as a hobby,"Not employed, and not looking for work",Italy,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",4,C#;Dart;Go;Java;Kotlin,Under 18 years old,Man
894,I am a developer by profession,Employed full-time,Germany,11 - 17 years,School,10,C#;HTML/CSS;JavaScript;Python;TypeScript;VBA,25-34 years old,Man
895,I am a developer by profession,Employed full-time,Spain,25 - 34 years,School,4,Java,35-44 years old,Man
896,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Poland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",8,HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,25-34 years old,Man
897,I am a developer by profession,Employed full-time,Germany,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",6,C++;Dart;Python,18-24 years old,Man
898,I am a developer by profession,Employed full-time,Hungary,18 - 24 years,School,18,Kotlin,35-44 years old,Man
899,I am a developer by profession,Employed full-time,Pakistan,18 - 24 years,Online Forum;Online Courses or Certification,7,Dart;Java;Kotlin;PHP,25-34 years old,Man
900,I am a developer by profession,Employed full-time,Czech Republic,11 - 17 years,School;Other (please specify):,27,Groovy;Java;Kotlin;TypeScript,35-44 years old,Man
901,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,11 - 17 years,Other (please specify):,30,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,35-44 years old,Man
902,I am a student who is learning to code,"Student, full-time",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",2,C++;Matlab;Python;SQL,18-24 years old,Prefer not to say
903,I am a student who is learning to code,"Student, part-time",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",8,HTML/CSS;Java;Python;SQL,18-24 years old,Man
904,I am a developer by profession,"Student, full-time",France,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",12,Assembly;Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;Ruby;Rust;SQL;TypeScript,18-24 years old,"Non-binary, genderqueer, or gender non-conforming"
905,I am a developer by profession,"Student, part-time",Morocco,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",5,C;C#;Dart;Java;JavaScript;Python,25-34 years old,Man
906,I am a developer by profession,Employed full-time,India,18 - 24 years,School,5,,25-34 years old,Man
907,I am a developer by profession,Employed full-time,Germany,11 - 17 years,School;Other (please specify):,6,Assembly;Bash/Shell;C;Java;Matlab;PHP;Python,25-34 years old,Man
908,I am a developer by profession,Employed full-time,India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",6,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;PowerShell;Python;SQL,,Man
909,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School",30,Elixir;Node.js;Python,35-44 years old,Man
910,I am a developer by profession,Employed full-time,Austria,11 - 17 years,Other (please specify):,19,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Matlab;SQL;VBA,25-34 years old,Man
911,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",15,HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,25-34 years old,Man
912,I am a developer by profession,Employed full-time,Germany,25 - 34 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",14,C;C++;Dart;Go,25-34 years old,Man
913,I am a developer by profession,Employed full-time,Germany,18 - 24 years,School,12,Bash/Shell;PHP;Python,25-34 years old,Man
914,I am a developer by profession,Employed full-time,Germany,11 - 17 years,School,15,C;Python,35-44 years old,Man
915,I am a developer by profession,Employed full-time,Kenya,18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",9,Java;Kotlin;Swift,25-34 years old,Man
916,"I am not primarily a developer, but I write code sometimes as part of my work",Employed part-time,United States of America,5 - 10 years,Other (please specify):,35,Bash/Shell;Python,35-44 years old,Man
917,I am a developer by profession,Employed full-time,Russian Federation,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Colleague",25,Bash/Shell;Java;Python;Scala;SQL,35-44 years old,Man
918,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School,22,C#,35-44 years old,Man
919,I am a developer by profession,Employed full-time,Turkey,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification",17,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Node.js;Objective-C;PHP;Python;SQL;TypeScript,25-34 years old,Man
920,I am a developer by profession,Employed full-time,Pakistan,18 - 24 years,Online Courses or Certification,5,Dart;HTML/CSS;JavaScript;Node.js;Python;TypeScript,18-24 years old,Man
921,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Czech Republic,11 - 17 years,Online Forum;Online Courses or Certification;Other (please specify):,12,HTML/CSS;JavaScript;PHP,25-34 years old,Man
922,I am a student who is learning to code,"Student, part-time",Switzerland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",4,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL,18-24 years old,Man
923,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",10,Python,18-24 years old,Man
924,I am a developer by profession,"Student, full-time",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Other (please specify):",6,Bash/Shell;C;C++;Rust;Swift,18-24 years old,Man
925,I am a developer by profession,Employed full-time,Germany,11 - 17 years,Other (please specify):,9,Groovy;Java;Kotlin;SQL,25-34 years old,Man
926,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Netherlands,11 - 17 years,Other (please specify):,30,HTML/CSS;Java;JavaScript;Node.js;Rust;TypeScript,45-54 years old,Man
927,I code primarily as a hobby,"Student, full-time",Sweden,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",3,HTML/CSS;JavaScript;Node.js;Python;TypeScript,Under 18 years old,Man
928,I am a developer by profession,Employed full-time,Netherlands,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",6,C#;C++;Go;JavaScript;Python,18-24 years old,Man
929,I am a developer by profession,Employed full-time,Russian Federation,11 - 17 years,,,SQL,35-44 years old,Man
930,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,18 - 24 years,Other (please specify):,8,Java;Python;R;SQL,25-34 years old,Man
931,I am a developer by profession,Employed full-time,Brazil,18 - 24 years,Colleague,20,Dart;Delphi,25-34 years old,Man
932,I am a developer by profession,"Student, part-time",Norway,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",5,C;C++;HTML/CSS;Java;JavaScript,18-24 years old,Man
933,I am a developer by profession,Employed part-time,Switzerland,11 - 17 years,Friend or family member;Other (please specify):,35,Bash/Shell;Go,45-54 years old,Man
934,I am a student who is learning to code,"Student, full-time",Italy,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",7,Java,18-24 years old,Man
935,I am a developer by profession,Employed full-time,India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School",9,Bash/Shell;C++;HTML/CSS;Java;JavaScript;SQL,25-34 years old,Man
936,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Ukraine,11 - 17 years,School;Online Forum;Other (please specify):;Colleague,12,JavaScript;TypeScript,45-54 years old,Man
937,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Russian Federation,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Colleague",11,C;C#;C++;HTML/CSS;JavaScript;Node.js;Objective-C;PHP;Python;SQL,25-34 years old,Man
938,I code primarily as a hobby,I prefer not to say,Lebanon,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",8,Assembly;C;C++;HTML/CSS;Java;JavaScript;Python;SQL,18-24 years old,Man
939,I am a developer by profession,I prefer not to say,India,11 - 17 years,School,13,C++;Dart;Objective-C;Swift,,
940,I am a developer by profession,Employed full-time,India,11 - 17 years,School,9,Java;JavaScript;Python;SQL;TypeScript,18-24 years old,Man
941,I am a developer by profession,"Independent contractor, freelancer, or self-employed",India,11 - 17 years,School,5,Bash/Shell;Dart;Node.js;TypeScript,25-34 years old,Man
942,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,5 - 10 years,Other (please specify):,31,Bash/Shell;C#;Go;HTML/CSS;Java;JavaScript;Node.js;Ruby;SQL;TypeScript,35-44 years old,Man
943,I am a developer by profession,Employed full-time,Netherlands,11 - 17 years,,10,C#;Go;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript;VBA,25-34 years old,Man
944,I am a developer by profession,Employed full-time,India,11 - 17 years,Coding Bootcamp,5,C++;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,18-24 years old,Man
945,I am a developer by profession,Employed full-time,Israel,11 - 17 years,Friend or family member,10,C++;Java;Kotlin;Objective-C;Python;Swift,45-54 years old,Man
946,I am a developer by profession,Employed full-time,Czech Republic,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Colleague",19,Bash/Shell;C#;HTML/CSS;JavaScript;PHP;Python;SQL,25-34 years old,Man
947,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Other (please specify):",20,Bash/Shell;C;C++;Elixir;Erlang;HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;TypeScript,25-34 years old,Man
948,I am a developer by profession,Employed full-time,Colombia,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",13,HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL,25-34 years old,Man
949,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",10,HTML/CSS;Matlab;Python,18-24 years old,Man
950,I am a developer by profession,Employed full-time,France,18 - 24 years,School,7,Bash/Shell;C#;Groovy;Java;PowerShell;SQL;VBA,25-34 years old,Man
951,I am a developer by profession,"Student, full-time",United Kingdom of Great Britain and Northern Ireland,5 - 10 years,School,17,Bash/Shell;C++;Java;Perl;Python,25-34 years old,Man
952,I am a developer by profession,Employed full-time,Netherlands,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",8,HTML/CSS;JavaScript;PHP;TypeScript,18-24 years old,Man
953,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School;Friend or family member,42,C#;HTML/CSS;JavaScript;SQL;TypeScript,55-64 years old,Man
954,I am a student who is learning to code,"Student, full-time",India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",3,C;C#;C++;HTML/CSS;Java;Python,18-24 years old,Man
955,I am a developer by profession,Employed full-time,France,18 - 24 years,School;Online Courses or Certification,6,Java;JavaScript;Kotlin;Objective-C;Swift,25-34 years old,Man
956,I am a developer by profession,Employed full-time,India,18 - 24 years,Colleague,10,PHP,25-34 years old,Man
957,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Poland,11 - 17 years,Other (please specify):,2,Haskell;JavaScript;Python,Under 18 years old,Man
958,I am a developer by profession,Employed full-time,Russian Federation,5 - 10 years,Other (please specify):,10,JavaScript;Node.js;TypeScript,25-34 years old,Man
959,I am a student who is learning to code,"Student, full-time",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",2,Bash/Shell;C;HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript,Under 18 years old,Man
960,None of these,"Student, full-time",Germany,11 - 17 years,School;Online Forum;Other (please specify):,9,HTML/CSS;Java;Node.js;Python;TypeScript,25-34 years old,"Man;Non-binary, genderqueer, or gender non-conforming"
961,I am a developer by profession,Employed full-time,Bangladesh,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",5,C++;Objective-C;Python;Swift,25-34 years old,Man
962,I am a developer by profession,Employed full-time,India,18 - 24 years,School,4,Bash/Shell;Go;Python,25-34 years old,Man
